article_length,num_sentences,avg_word_length,unique_entries,num_relations,relation_density,relation_density_per_sentence,precision,recall,f1,support
922,7,5.1328671328671325,5,7,0.007592190889370932,1.0,0.25,0.125,0.16666666666666666,8.0
802,6,5.2682926829268295,13,17,0.02119700748129676,2.8333333333333335,0.12280701754385963,0.05263157894736842,0.0736842105263158,19.0
1423,11,5.32093023255814,9,11,0.007730147575544624,1.0,0.1111111111111111,0.16666666666666666,0.13333333333333333,12.0
808,8,4.7984496124031,6,6,0.007425742574257425,0.75,0.0,0.0,0.0,6.0
1524,14,4.807228915662651,14,21,0.013779527559055118,1.5,0.0,0.0,0.0,23.0
876,5,4.543046357615894,10,19,0.021689497716894976,3.8,0.022727272727272728,0.045454545454545456,0.0303030303030303,22.0
697,8,4.641025641025641,8,23,0.03299856527977044,2.875,0.0,0.0,0.0,25.0
1116,10,4.505154639175258,9,15,0.013440860215053764,1.5,0.21875,0.0625,0.09722222222222221,16.0
921,10,5.096551724137931,7,16,0.01737242128121607,1.6,0.05263157894736842,0.05263157894736842,0.05263157894736842,19.0
1137,8,5.011111111111111,12,14,0.012313104661389622,1.75,0.0,0.0,0.0,15.0
751,7,4.182481751824818,10,9,0.011984021304926764,1.2857142857142858,0.0,0.0,0.0,13.0
1086,11,4.931818181818182,8,17,0.01565377532228361,1.5454545454545454,0.12962962962962962,0.05555555555555555,0.07777777777777778,18.0
699,9,4.3983739837398375,13,20,0.02861230329041488,2.2222222222222223,0.07954545454545454,0.045454545454545456,0.05785123966942149,22.0
722,4,5.2110091743119265,4,3,0.004155124653739612,0.75,0.0,0.0,0.0,5.0
975,4,5.544827586206897,7,14,0.014358974358974359,3.5,0.0,0.0,0.0,16.0
1079,14,4.881656804733728,17,29,0.026876737720111215,2.0714285714285716,0.13333333333333333,0.03333333333333333,0.05333333333333334,30.0
947,8,5.121621621621622,7,7,0.007391763463569166,0.875,0.0,0.0,0.0,10.0
736,5,4.768595041322314,7,11,0.014945652173913044,2.2,0.0,0.0,0.0,12.0
707,4,4.982142857142857,5,5,0.007072135785007072,1.25,0.0,0.0,0.0,6.0
795,8,5.0,13,41,0.05157232704402516,5.125,0.43902439024390244,0.024390243902439025,0.04621309370988447,41.0
1813,10,5.185964912280702,10,9,0.004964147821290678,0.9,0.0,0.0,0.0,11.0
1296,8,4.54054054054054,14,15,0.011574074074074073,1.875,0.0,0.0,0.0,20.0
739,5,4.745901639344262,8,14,0.018944519621109608,2.8,0.42857142857142855,0.07142857142857142,0.12244897959183673,14.0
685,5,4.601694915254237,8,8,0.01167883211678832,1.6,0.0,0.0,0.0,13.0
773,5,4.991803278688525,9,14,0.018111254851228976,2.8,0.1875,0.1875,0.1875,16.0
931,7,5.104895104895105,13,23,0.024704618689581095,3.2857142857142856,0.0,0.0,0.0,25.0
768,7,5.228813559322034,8,15,0.01953125,2.142857142857143,0.0,0.0,0.0,16.0
1144,9,4.842391304347826,9,8,0.006993006993006993,0.8888888888888888,0.0,0.0,0.0,11.0
810,7,5.118110236220472,16,17,0.020987654320987655,2.4285714285714284,0.3333333333333333,0.05555555555555555,0.09523809523809523,18.0
1212,10,4.4454976303317535,8,6,0.0049504950495049506,0.6,0.0,0.0,0.0,7.0
802,9,4.968253968253968,5,4,0.004987531172069825,0.4444444444444444,0.0,0.0,0.0,8.0
943,8,4.740259740259741,11,18,0.019088016967126194,2.25,0.05555555555555555,0.05555555555555555,0.05555555555555555,18.0
751,8,4.222222222222222,6,7,0.009320905459387484,0.875,0.0,0.0,0.0,10.0
793,5,4.437037037037037,10,18,0.02269861286254729,3.6,0.0,0.0,0.0,21.0
933,7,4.798701298701299,6,12,0.012861736334405145,1.7142857142857142,0.2564102564102564,0.15384615384615385,0.19230769230769232,13.0
1041,12,4.812865497076023,6,9,0.008645533141210375,0.75,0.0606060606060606,0.09090909090909091,0.07272727272727274,11.0
2219,18,4.581578947368421,12,12,0.005407841369986481,0.6666666666666666,0.0,0.0,0.0,14.0
858,5,4.657534246575342,8,12,0.013986013986013986,2.4,0.5,0.08333333333333333,0.14285714285714285,12.0
880,9,4.644295302013423,11,17,0.019318181818181818,1.8888888888888888,0.0,0.0,0.0,17.0
1397,8,5.428571428571429,2,1,0.0007158196134574087,0.125,0.0,0.0,0.0,2.0
1188,9,5.283333333333333,9,13,0.010942760942760943,1.4444444444444444,0.23999999999999996,0.2,0.21818181818181817,15.0
1903,10,4.8737541528239205,14,20,0.010509721492380452,2.0,0.0,0.0,0.0,27.0
1199,9,4.989583333333333,14,23,0.019182652210175146,2.5555555555555554,0.5217391304347826,0.08695652173913043,0.14906832298136646,23.0
634,5,4.481132075471698,19,19,0.02996845425867508,3.8,0.0,0.0,0.0,21.0
1391,11,5.013888888888889,9,8,0.005751258087706686,0.7272727272727273,0.0,0.0,0.0,9.0
1250,10,4.666666666666667,9,14,0.0112,1.4,0.0,0.0,0.0,16.0
1259,7,5.396825396825397,5,3,0.0023828435266084196,0.42857142857142855,0.0,0.0,0.0,5.0
1311,10,5.073891625615763,4,4,0.0030511060259344014,0.4,0.0,0.0,0.0,5.0
1013,7,4.637426900584796,11,21,0.02073050345508391,3.0,0.0,0.0,0.0,22.0
1420,9,5.085201793721973,9,7,0.004929577464788733,0.7777777777777778,0.0,0.0,0.0,10.0
1180,5,5.363636363636363,4,5,0.00423728813559322,1.0,0.0,0.0,0.0,8.0
1047,7,5.0625,11,13,0.012416427889207259,1.8571428571428572,0.0,0.0,0.0,17.0
696,3,5.074766355140187,7,9,0.01293103448275862,3.0,0.0,0.0,0.0,12.0
2377,15,5.060686015831134,6,13,0.005469078670593185,0.8666666666666667,0.0,0.0,0.0,14.0
827,8,4.513888888888889,6,6,0.007255139056831923,0.75,0.21428571428571427,0.14285714285714285,0.17142857142857146,7.0
867,9,4.851063829787234,12,18,0.020761245674740483,2.0,0.0,0.0,0.0,19.0
1141,7,5.146067415730337,11,20,0.017528483786152498,2.857142857142857,0.3333333333333333,0.1,0.15384615384615385,20.0
913,10,4.918367346938775,17,31,0.033953997809419496,3.1,0.5161290322580645,0.06451612903225806,0.11469534050179211,31.0
1031,8,4.898809523809524,7,6,0.005819592628516004,0.75,0.21428571428571427,0.14285714285714285,0.17142857142857146,7.0
1137,9,4.793478260869565,14,17,0.014951627088830254,1.8888888888888888,0.0125,0.05,0.02,20.0
1053,6,4.708571428571428,9,8,0.007597340930674264,1.3333333333333333,0.0,0.0,0.0,11.0
1098,11,5.320987654320987,17,17,0.015482695810564663,1.5454545454545454,0.5925925925925926,0.1111111111111111,0.1871345029239766,18.0
778,6,4.445255474452555,7,13,0.016709511568123392,2.1666666666666665,0.0,0.0,0.0,14.0
